Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date,"Previous
Closing
Price"
STANBIC,,100.0,--,--,--,,14,965,"97,259.20",01 Sep 25,100.0
STERLINGNG,,7.8,--,--,--,,24,"61,706","480,139.80",01 Sep 25,7.8
SUNUASSUR,,5.54,--,--,--,,5,"5,420","31,357.40",01 Sep 25,5.54
TANTALIZER,,2.48,--,--,--,,11,"47,740","116,963.00",01 Sep 25,2.48
THOMASWY [MRS],,3.0,--,--,--,,0,--,--,01 Sep 25,3.0
TIP,,12.01,--,--,--,,3,928,"11,321.28",01 Sep 25,12.01
TOTAL,,640.0,--,--,--,,8,614,"369,548.00",01 Sep 25,640.0
TRANSCOHOT,,164.6,--,--,--,,6,255,"42,695.00",01 Sep 25,164.6
TRANSCORP,,47.0,--,--,--,,30,"23,410","1,100,737.00",01 Sep 25,47.0
TRANSEXPR,,2.15,--,--,--,,0,--,--,01 Sep 25,2.15
TRANSPOWER,,286.5,--,--,--,,8,"2,198","566,910.20",01 Sep 25,286.5
TRIPPLEG,,5.6,--,--,--,,1,"1,000","5,040.00",01 Sep 25,5.6
UACN,,73.0,--,--,--,,28,"60,047","4,003,465.50",01 Sep 25,73.0
UBA,,48.65,--,--,--,,124,"167,353","8,119,469.20",01 Sep 25,48.65
UCAP,,19.3,--,--,--,,24,"218,743","4,217,057.50",01 Sep 25,19.3
UHOMREIT,,57.6,--,--,--,,0,--,--,01 Sep 25,57.6
UNILEVER,,73.0,--,--,--,,9,"1,068","77,857.20",01 Sep 25,73.0
UNIONDICON [DWL],,12.1,--,--,--,,8,190,"2,311.00",01 Sep 25,12.1
UNITYBNK [MRF],,1.51,--,--,--,,0,--,--,01 Sep 25,1.51
UNIVINSURE [MRF],,1.2,--,--,--,,10,"115,500","143,235.00",01 Sep 25,1.2
UPDC [BLS],,6.5,6.10,6.10,6.10,-0.4,20,"214,849","1,342,685.95",01 Sep 25,6.5
UPDCREIT,,7.85,--,--,--,,12,"36,717","293,143.80",01 Sep 25,7.85
UPL,,5.54,--,--,--,,1,987,"5,625.90",01 Sep 25,5.54
VANLEER [DIP],,5.45,--,--,--,,0,--,--,01 Sep 25,5.45
VERITASKAP,,2.1,--,--,--,,6,"6,379","13,835.90",01 Sep 25,2.1
VFDGROUP,,11.0,--,--,--,,16,"143,663","1,588,890.60",01 Sep 25,11.0
VITAFOAM,,81.9,--,--,--,,12,"2,759","215,231.60",01 Sep 25,81.9
WAPCO,,130.0,129.50,129.50,129.50,-0.5,47,"529,721","67,933,341.90",01 Sep 25,130.0
WAPIC,,3.62,--,--,--,,11,"33,145","120,760.25",01 Sep 25,3.62
WEMABANK,,23.0,--,--,--,,20,"20,439","475,040.70",01 Sep 25,23.0
ZENITHBANK,,66.0,--,--,--,,75,"229,896","15,472,035.10",01 Sep 25,66.0
